停車票號,入場時間,出場時間,發票號碼,收費金額
2020110412389833,2020/11/04 12:38:00,2020/11/04 22:31:06,,60
2020110400259823,2020/11/04 00:25:00,2020/11/04 22:48:09,56937331,60
2020110415099836,2020/11/04 15:09:00,2020/11/04 23:40:20,56937332,60
2020110420199842,2020/11/04 20:19:00,2020/11/04 23:52:52,56937333,60
2020110500169843,2020/11/05 00:16:00,2020/11/05 00:25:39,,10
2020110418469840,2020/11/04 18:46:00,2020/11/05 01:06:59,,80
2020110414519835,2020/11/04 14:51:00,2020/11/05 06:43:58,56937334,120
2020110408119829,2020/11/04 08:11:00,2020/11/05 08:45:53,56937335,120
2020110419279841,2020/11/04 19:27:00,2020/11/05 08:53:11,,120
2020110509109853,2020/11/05 09:10:00,2020/11/05 09:28:50,56937336,10
2020110506409844,2020/11/05 06:40:00,2020/11/05 09:30:46,56937337,60
2020110507579850,2020/11/05 07:57:00,2020/11/05 10:25:12,,50
2020102915009687,2020/10/29 15:00:00,2020/11/05 11:47:13,,560
2020110507309849,2020/11/05 07:30:00,2020/11/05 14:27:40,56937338,60
2020110506549845,2020/11/05 06:54:00,2020/11/05 14:39:53,56937339,60
2020110506559846,2020/11/05 06:55:00,2020/11/05 14:46:28,,60
2020110507119847,2020/11/05 07:11:00,2020/11/05 14:53:02,56937340,60
2020110508179852,2020/11/05 08:17:00,2020/11/05 17:45:07,56937341,60
2020110509509854,2020/11/05 09:50:00,2020/11/05 19:59:53,56937342,60
2020110507279848,2020/11/05 07:27:00,2020/11/05 20:06:33,,60
2020110519079858,2020/11/05 19:07:00,2020/11/05 20:13:04,56937343,30
2020110508019851,2020/11/05 08:01:00,2020/11/05 20:41:32,56937344,60
2020110517089855,2020/11/05 17:08:00,2020/11/05 22:03:44,,60
2020110519599860,2020/11/05 19:59:00,2020/11/05 22:06:50,56937345,50
2020110518569857,2020/11/05 18:56:00,2020/11/05 23:07:45,,60
2020110522349861,2020/11/05 22:34:00,2020/11/06 00:10:10,56937346,40
2020110517309856,2020/11/05 17:30:00,2020/11/06 01:57:32,56937347,100
2020110601159863,2020/11/06 01:15:00,2020/11/06 09:05:36,,60
2020110608009868,2020/11/06 08:00:00,2020/11/06 11:20:01,,60
2020110607599867,2020/11/06 07:59:00,2020/11/06 13:31:35,56937348,60
2020110613199876,2020/11/06 13:19:00,2020/11/06 14:01:38,56937349,20
2020110607249865,2020/11/06 07:24:00,2020/11/06 14:10:04,56937350,60
2020110519129859,2020/11/05 19:12:00,2020/11/06 14:25:24,56937351,120
2020110613109875,2020/11/06 13:10:00,2020/11/06 14:38:15,56937352,30
2020110609319873,2020/11/06 09:31:00,2020/11/06 14:46:18,,60
2020110613479877,2020/11/06 13:47:00,2020/11/06 14:58:41,56937353,30
2020110613519878,2020/11/06 13:51:00,2020/11/06 15:43:26,,40
2020110607279866,2020/11/06 07:27:00,2020/11/06 16:12:38,56937354,60
2020110614509879,2020/11/06 14:50:00,2020/11/06 17:13:29,56937355,50
2020110608219870,2020/11/06 08:21:00,2020/11/06 17:49:51,56937356,60
2020110617269880,2020/11/06 17:26:00,2020/11/06 18:57:55,56937357,40
2020110611309874,2020/11/06 11:30:00,2020/11/06 19:19:54,56937358,60
2020110608059869,2020/11/06 08:05:00,2020/11/06 20:17:38,56937359,60
2020110618539884,2020/11/06 18:53:00,2020/11/06 20:38:52,56937360,40
2020110618449883,2020/11/06 18:44:00,2020/11/06 21:28:13,,60
2020110609279872,2020/11/06 09:27:00,2020/11/06 23:01:43,56937361,60
2020110609039871,2020/11/06 09:03:00,2020/11/06 23:14:22,,60
2020110618589885,2020/11/06 18:58:00,2020/11/06 23:26:34,56937362,60
2020110617399881,2020/11/06 17:39:00,2020/11/07 01:52:28,,100
2020110707149887,2020/11/07 07:14:00,2020/11/07 09:00:06,56937363,40
2020110707219888,2020/11/07 07:21:00,2020/11/07 09:40:07,56937364,50
2020110707489889,2020/11/07 07:48:00,2020/11/07 10:44:46,56937365,60
2020110711339893,2020/11/07 11:33:00,2020/11/07 12:17:52,56937366,20
2020110710429892,2020/11/07 10:42:00,2020/11/07 13:50:33,,70
2020110708519890,2020/11/07 08:51:00,2020/11/07 13:51:02,,100
2020110713049896,2020/11/07 13:04:00,2020/11/07 14:06:49,56937367,30
2020110712419895,2020/11/07 12:41:00,2020/11/07 14:16:49,56937368,40
2020110709219891,2020/11/07 09:21:00,2020/11/07 14:29:19,,100
2020110713129897,2020/11/07 13:12:00,2020/11/07 14:31:11,56937369,30
2020110714009902,2020/11/07 14:00:00,2020/11/07 15:03:53,56937370,30
2020110713409900,2020/11/07 13:40:00,2020/11/07 15:07:51,,30
2020110712299894,2020/11/07 12:29:00,2020/11/07 15:37:55,56937371,70
2020110714459904,2020/11/07 14:45:00,2020/11/07 15:48:41,56937372,30
2020110713449901,2020/11/07 13:44:00,2020/11/07 15:51:24,56937373,50
2020110622069886,2020/11/06 22:06:00,2020/11/07 16:09:40,56937374,140
2020110714449903,2020/11/07 14:44:00,2020/11/07 16:37:28,56937375,40
2020110713249898,2020/11/07 13:24:00,2020/11/07 16:41:33,56937376,70
2020110715479906,2020/11/07 15:47:00,2020/11/07 17:07:04,,30
2020110717459909,2020/11/07 17:45:00,2020/11/07 19:13:55,56937377,30
2020110717529910,2020/11/07 17:52:00,2020/11/07 19:48:35,,40
2020110717039907,2020/11/07 17:03:00,2020/11/07 20:45:35,56937378,80
2020110718339913,2020/11/07 18:33:00,2020/11/07 20:46:16,56937379,50
2020110718329912,2020/11/07 18:32:00,2020/11/07 20:46:49,,50
2020110718359914,2020/11/07 18:35:00,2020/11/07 21:12:42,,60
2020110713279899,2020/11/07 13:27:00,2020/11/07 22:00:36,56937380,100
2020110715219905,2020/11/07 15:21:00,2020/11/07 22:47:28,56937381,100
2020110718189911,2020/11/07 18:18:00,2020/11/07 22:52:48,56937382,100
2020110718499916,2020/11/07 18:49:00,2020/11/07 22:55:10,,90
2020110723589920,2020/11/07 23:58:00,2020/11/08 00:08:39,,10
2020110717409908,2020/11/07 17:40:00,2020/11/08 01:49:03,,140
2020110722359919,2020/11/07 22:35:00,2020/11/08 02:50:48,,90
2020110719219917,2020/11/07 19:21:00,2020/11/08 07:22:56,,200
2020110808519925,2020/11/08 08:51:00,2020/11/08 09:07:22,56937383,10
2020110523309862,2020/11/05 23:30:00,2020/11/08 10:24:23,,270
2020110801039921,2020/11/08 01:03:00,2020/11/08 10:51:43,,100
2020110718479915,2020/11/07 18:47:00,2020/11/08 10:56:28,,200
2020110809319927,2020/11/08 09:31:00,2020/11/08 11:05:39,56937384,40
2020110808169924,2020/11/08 08:16:00,2020/11/08 11:49:43,56937385,80
2020110810179930,2020/11/08 10:17:00,2020/11/08 11:53:19,56937386,40
2020110722239918,2020/11/07 22:23:00,2020/11/08 12:09:42,,140
2020110810169929,2020/11/08 10:16:00,2020/11/08 12:24:24,,50
2020110813109938,2020/11/08 13:10:00,2020/11/08 13:30:50,,10
2020110810109928,2020/11/08 10:10:00,2020/11/08 13:45:26,56937387,80
2020110812529936,2020/11/08 12:52:00,2020/11/08 13:49:17,,20
2020110807319922,2020/11/08 07:31:00,2020/11/08 14:29:29,56937388,100
2020110812489934,2020/11/08 12:48:00,2020/11/08 14:42:44,56937389,40
2020110813109937,2020/11/08 13:10:00,2020/11/08 14:44:57,56937390,40
2020110812459933,2020/11/08 12:45:00,2020/11/08 14:48:12,56937391,50
2020110812519935,2020/11/08 12:51:00,2020/11/08 15:22:55,56937392,60
2020110815429945,2020/11/08 15:42:00,2020/11/08 15:48:20,,10
2020110815289944,2020/11/08 15:28:00,2020/11/08 16:04:33,56937393,20
2020110813359939,2020/11/08 13:35:00,2020/11/08 16:25:17,,60
2020110809149926,2020/11/08 09:14:00,2020/11/08 17:05:21,,100
2020110808129923,2020/11/08 08:12:00,2020/11/08 17:05:54,56937394,100
2020110810489931,2020/11/08 10:48:00,2020/11/08 18:11:41,,100
2020110606019864,2020/11/06 06:01:00,2020/11/08 18:48:18,56937395,260
2020110812449932,2020/11/08 12:44:00,2020/11/08 18:53:16,56937396,100
2020110818099948,2020/11/08 18:09:00,2020/11/08 19:22:46,56937397,30
2020110815029943,2020/11/08 15:02:00,2020/11/08 19:43:15,56937398,100
2020110814019941,2020/11/08 14:01:00,2020/11/08 19:49:38,56937399,100
2020110819509950,2020/11/08 19:50:00,2020/11/08 20:17:12,,10
2020110818269949,2020/11/08 18:26:00,2020/11/08 20:39:28,,50
2020110814589942,2020/11/08 14:58:00,2020/11/08 20:51:32,56937400,100
2020110813599940,2020/11/08 13:59:00,2020/11/08 21:02:43,,100
2020110817469947,2020/11/08 17:46:00,2020/11/08 21:14:04,56937401,70
2020110822029952,2020/11/08 22:02:00,2020/11/09 08:34:26,56937402,100
2020110908119960,2020/11/09 08:11:00,2020/11/09 09:15:08,56937403,30
2020110908029959,2020/11/09 08:02:00,2020/11/09 11:51:58,56937404,60
2020110910509965,2020/11/09 10:50:00,2020/11/09 11:56:52,,30
2020110908129961,2020/11/09 08:12:00,2020/11/09 12:08:01,56937405,60
2020110907459958,2020/11/09 07:45:00,2020/11/09 12:30:58,56937406,60
2020110820389951,2020/11/08 20:38:00,2020/11/09 14:07:55,,130
2020110912149966,2020/11/09 12:14:00,2020/11/09 14:26:51,,50
2020110908219962,2020/11/09 08:21:00,2020/11/09 14:27:52,56937407,60
2020110907239955,2020/11/09 07:23:00,2020/11/09 14:40:46,56937408,60
2020110912169967,2020/11/09 12:16:00,2020/11/09 17:20:04,56937409,60
2020110907319957,2020/11/09 07:31:00,2020/11/09 17:42:28,56937410,60
2020110908219963,2020/11/09 08:21:00,2020/11/09 17:52:11,56937411,60
2020110916009969,2020/11/09 16:00:00,2020/11/09 18:17:43,56937412,50
2020110907239956,2020/11/09 07:23:00,2020/11/09 21:04:21,56937413,60
2020110918559970,2020/11/09 18:55:00,2020/11/09 21:14:24,56937414,50
2020110909389964,2020/11/09 09:38:00,2020/11/09 23:58:28,56937415,60
2020110913089968,2020/11/09 13:08:00,2020/11/10 06:18:43,56937416,120
2020110907229954,2020/11/09 07:22:00,2020/11/10 09:51:38,56937417,120
2020111008009973,2020/11/10 08:00:00,2020/11/10 10:25:10,,50
2020110920189971,2020/11/09 20:18:00,2020/11/10 10:27:59,,120
2020110906229953,2020/11/09 06:22:00,2020/11/10 13:51:44,56937418,120
2020111011199985,2020/11/10 11:19:00,2020/11/10 14:11:17,,60
2020111007129972,2020/11/10 07:12:00,2020/11/10 15:08:48,56937419,60
2020111010239983,2020/11/10 10:23:00,2020/11/10 15:10:48,,60
2020111008109974,2020/11/10 08:10:00,2020/11/10 15:11:20,56937420,60
2020111010279984,2020/11/10 10:27:00,2020/11/10 15:18:47,,60
2020111012429986,2020/11/10 12:42:00,2020/11/10 16:15:22,56937421,60
2020111009259978,2020/11/10 09:25:00,2020/11/10 16:45:28,,60
2020111009419980,2020/11/10 09:41:00,2020/11/10 17:09:48,56937422,60
2020111010169982,2020/11/10 10:16:00,2020/11/10 17:20:24,,60
2020111013149987,2020/11/10 13:14:00,2020/11/10 17:25:56,56937423,60
2020111009099976,2020/11/10 09:09:00,2020/11/10 18:00:34,56937424,60
2020111009299979,2020/11/10 09:29:00,2020/11/10 18:01:56,,60
2020111013589988,2020/11/10 13:58:00,2020/11/10 19:26:38,,60
2020111009179977,2020/11/10 09:17:00,2020/11/10 19:38:19,56937425,60
2020111018209992,2020/11/10 18:20:00,2020/11/10 19:53:36,,40
2020111017489989,2020/11/10 17:48:00,2020/11/10 20:37:47,,60
2020111008189975,2020/11/10 08:18:00,2020/11/10 20:41:10,56937426,60
2020111018059991,2020/11/10 18:05:00,2020/11/10 22:10:04,,60
2020111021139994,2020/11/10 21:13:00,2020/11/11 06:46:41,,120
