停車票號,入場時間,出場時間,發票號碼,收費金額
2020110311552569,2020/11/03 11:55:00,2020/11/03 17:52:29,,60
2020110308042563,2020/11/03 08:04:00,2020/11/03 18:20:39,56945803,60
2020110307412560,2020/11/03 07:41:00,2020/11/03 18:23:34,56945804,60
2020110307412561,2020/11/03 07:41:00,2020/11/03 19:00:37,56945805,60
2020110314172572,2020/11/03 14:17:00,2020/11/03 19:11:42,56945806,60
2020110219262556,2020/11/02 19:26:00,2020/11/03 19:41:57,56945807,120
2020110313482571,2020/11/03 13:48:00,2020/11/03 21:05:47,,60
2020110312412570,2020/11/03 12:41:00,2020/11/03 21:17:09,,60
2020110317542579,2020/11/03 17:54:00,2020/11/03 21:22:20,,60
2020110318292581,2020/11/03 18:29:00,2020/11/03 22:03:02,,60
2020110316492575,2020/11/03 16:49:00,2020/11/04 00:09:52,56945808,70
2020110404122583,2020/11/04 04:12:00,2020/11/04 13:00:49,,60
2020110408032588,2020/11/04 08:03:00,2020/11/04 13:13:27,56945809,60
2020110400382582,2020/11/04 00:38:00,2020/11/04 13:18:17,,60
2020110410552596,2020/11/04 10:55:00,2020/11/04 13:45:51,56945810,60
2020110408212590,2020/11/04 08:21:00,2020/11/04 14:05:38,56945811,60
2020110408272591,2020/11/04 08:27:00,2020/11/04 14:06:21,56945812,60
2020110413372597,2020/11/04 13:37:00,2020/11/04 15:01:46,,30
2020110408192589,2020/11/04 08:19:00,2020/11/04 15:49:07,,60
2020110405132584,2020/11/04 05:13:00,2020/11/04 16:28:44,56945813,60
2020110408582593,2020/11/04 08:58:00,2020/11/04 17:13:58,56945814,60
2020110407562587,2020/11/04 07:56:00,2020/11/04 17:35:53,56945815,60
2020110410172595,2020/11/04 10:17:00,2020/11/04 18:00:26,56945816,60
2020110409532594,2020/11/04 09:53:00,2020/11/04 18:09:55,56945817,60
2020110407532586,2020/11/04 07:53:00,2020/11/04 18:16:10,56945818,60
2020110407412585,2020/11/04 07:41:00,2020/11/04 18:52:47,56945819,60
2020110418472604,2020/11/04 18:47:00,2020/11/04 19:21:12,56945820,20
2020110418382603,2020/11/04 18:38:00,2020/11/04 20:02:53,,30
2020110417032600,2020/11/04 17:03:00,2020/11/04 20:13:42,,60
2020110418302602,2020/11/04 18:30:00,2020/11/04 20:14:32,56945821,40
2020110418112601,2020/11/04 18:11:00,2020/11/04 20:59:28,56945822,60
2020110420072605,2020/11/04 20:07:00,2020/11/04 21:01:16,,20
2020110414192598,2020/11/04 14:19:00,2020/11/04 23:02:29,,60
2020110414222599,2020/11/04 14:22:00,2020/11/04 23:40:27,,60
2020110318212580,2020/11/03 18:21:00,2020/11/05 08:27:21,56945823,180
2020110408442592,2020/11/04 08:44:00,2020/11/05 12:00:33,,120
2020110508542613,2020/11/05 08:54:00,2020/11/05 14:17:13,56945824,60
2020110506202607,2020/11/05 06:20:00,2020/11/05 16:35:32,,60
2020110510412616,2020/11/05 10:41:00,2020/11/05 16:35:54,56945825,60
2020110508412612,2020/11/05 08:41:00,2020/11/05 17:05:55,56945826,60
2020110514372619,2020/11/05 14:37:00,2020/11/05 17:25:26,56945827,60
2020110512582617,2020/11/05 12:58:00,2020/11/05 18:06:33,56945828,60
2020110509442614,2020/11/05 09:44:00,2020/11/05 18:09:32,56945829,60
2020110507512609,2020/11/05 07:51:00,2020/11/05 18:20:50,56945830,60
2020110508272611,2020/11/05 08:27:00,2020/11/05 18:30:22,56945831,60
2020110517522622,2020/11/05 17:52:00,2020/11/05 18:52:07,,20
2020110518002623,2020/11/05 18:00:00,2020/11/05 19:18:41,56945832,30
2020110507362608,2020/11/05 07:36:00,2020/11/05 19:38:50,56945833,60
2020110518442624,2020/11/05 18:44:00,2020/11/05 19:52:43,,30
2020110518502625,2020/11/05 18:50:00,2020/11/05 20:16:43,56945834,30
2020110519592626,2020/11/05 19:59:00,2020/11/05 20:49:15,,20
2020110514292618,2020/11/05 14:29:00,2020/11/05 21:21:00,,60
2020110517502621,2020/11/05 17:50:00,2020/11/05 22:59:32,,60
2020110522592627,2020/11/05 22:59:00,2020/11/05 23:12:49,,20
2020110604422629,2020/11/06 04:42:00,2020/11/06 06:48:50,56945835,50
2020110600112628,2020/11/06 00:11:00,2020/11/06 11:14:55,56945836,60
2020110609252638,2020/11/06 09:25:00,2020/11/06 12:24:38,56945837,60
2020110516392620,2020/11/05 16:39:00,2020/11/06 13:09:33,56945838,120
2020110613192642,2020/11/06 13:19:00,2020/11/06 14:38:10,56945839,30
2020110613292643,2020/11/06 13:29:00,2020/11/06 15:12:48,,40
2020110607462632,2020/11/06 07:46:00,2020/11/06 15:13:57,56945840,60
2020110611292641,2020/11/06 11:29:00,2020/11/06 15:15:41,,60
2020110508072610,2020/11/05 08:07:00,2020/11/06 15:36:16,,120
2020110607502633,2020/11/06 07:50:00,2020/11/06 15:47:59,56945841,60
2020110608222636,2020/11/06 08:22:00,2020/11/06 16:01:40,,60
2020110610182640,2020/11/06 10:18:00,2020/11/06 16:31:06,,60
2020110606122630,2020/11/06 06:12:00,2020/11/06 16:35:36,,60
2020110607592635,2020/11/06 07:59:00,2020/11/06 16:42:26,56945842,60
2020110608262637,2020/11/06 08:26:00,2020/11/06 17:00:55,56945843,60
2020110609542639,2020/11/06 09:54:00,2020/11/06 17:07:21,56945844,60
2020110607522634,2020/11/06 07:52:00,2020/11/06 17:35:39,56945845,60
2020110607262631,2020/11/06 07:26:00,2020/11/06 18:57:13,56945846,60
2020110619132650,2020/11/06 19:13:00,2020/11/06 19:18:40,,20
