停車票號,入場時間,出場時間,發票號碼,收費金額
2021020308523577,2021/02/03 08:52:00,2021/02/03 10:19:25,56697181,45
2021020308193574,2021/02/03 08:19:00,2021/02/03 10:27:52,56697182,75
2021020309533581,2021/02/03 09:53:00,2021/02/03 10:47:57,未開發票,30
2021020310453582,2021/02/03 10:45:00,2021/02/03 11:10:49,未開發票,15
2021020309413580,2021/02/03 09:41:00,2021/02/03 11:29:25,56697183,60
2021020311103583,2021/02/03 11:10:00,2021/02/03 11:59:40,未開發票,30
2021020313523585,2021/02/03 13:52:00,2021/02/03 15:06:40,未開發票,45
2021020314253586,2021/02/03 14:25:00,2021/02/03 15:09:51,未開發票,30
2021020307583571,2021/02/03 07:58:00,2021/02/03 15:16:01,56697184,150
2021020314263587,2021/02/03 14:26:00,2021/02/03 15:25:01,未開發票,30
2021020313493584,2021/02/03 13:49:00,2021/02/03 15:27:16,未開發票,60
2021020316033590,2021/02/03 16:03:00,2021/02/03 16:12:34,未開發票,15
2021020315343588,2021/02/03 15:34:00,2021/02/03 16:21:56,56697185,30
2021020307413567,2021/02/03 07:41:00,2021/02/03 16:53:08,56697186,150
2021020308153573,2021/02/03 08:15:00,2021/02/03 17:03:53,56697187,150
2021020307293566,2021/02/03 07:29:00,2021/02/03 17:08:42,56697188,150
2021020307493570,2021/02/03 07:49:00,2021/02/03 17:16:41,56697189,150
2021020307463568,2021/02/03 07:46:00,2021/02/03 18:03:35,56697190,150
2021020307493569,2021/02/03 07:49:00,2021/02/03 18:04:29,56697191,150
2021020315493589,2021/02/03 15:49:00,2021/02/03 18:42:52,56697192,90
2021020316333591,2021/02/03 16:33:00,2021/02/03 18:58:49,未開發票,75
2021020306373565,2021/02/03 06:37:00,2021/02/03 19:19:31,未開發票,150
2021020309343579,2021/02/03 09:34:00,2021/02/03 19:22:13,56697193,150
2021020308113572,2021/02/03 08:11:00,2021/02/03 20:55:06,56697194,150
2021020308203575,2021/02/03 08:20:00,2021/02/03 23:47:15,56697195,150
2021020409543607,2021/02/04 09:54:00,2021/02/04 11:12:52,56697196,45
2021020409313605,2021/02/04 09:31:00,2021/02/04 11:24:40,56697197,60
2021020408293603,2021/02/04 08:29:00,2021/02/04 11:25:14,56697198,90
2021020410043608,2021/02/04 10:04:00,2021/02/04 11:37:56,未開發票,60
2021020409353606,2021/02/04 09:35:00,2021/02/04 11:38:21,未開發票,75
2021020411393611,2021/02/04 11:39:00,2021/02/04 12:22:11,56697199,30
2021020408173602,2021/02/04 08:17:00,2021/02/04 12:34:05,56697200,135
2021020410133610,2021/02/04 10:13:00,2021/02/04 12:35:38,56697201,75
2021020410133609,2021/02/04 10:13:00,2021/02/04 14:06:15,未開發票,120
2021020412153613,2021/02/04 12:15:00,2021/02/04 14:10:12,56697202,60
2021020415163616,2021/02/04 15:16:00,2021/02/04 15:29:27,未開發票,15
2021020415253618,2021/02/04 15:25:00,2021/02/04 15:31:45,56697203,15
2021020407203596,2021/02/04 07:20:00,2021/02/04 16:02:41,未開發票,150
2021020323383592,2021/02/03 23:38:00,2021/02/04 16:09:47,未開發票,165
2021020415133615,2021/02/04 15:13:00,2021/02/04 16:12:50,56697204,30
2021020407143595,2021/02/04 07:14:00,2021/02/04 16:13:51,56697205,150
2021020415213617,2021/02/04 15:21:00,2021/02/04 16:20:59,56697206,30
